2019-09-12 18:40:14.362202	策略初始化完成
2019-09-12 18:40:14.362224	开始回放历史数据
Keep Low=> total_count=1, avg_price_diff=59, total_volume_a=68771.0, total_volume_b=75365.0
Keep Low=> total_count=1, avg_price_diff=98, total_volume_a=201210.0, total_volume_b=15250.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=162538.0, total_volume_b=29778.0
Keep Low=> total_count=1, avg_price_diff=78, total_volume_a=333682.0, total_volume_b=35875.0
Keep High=> total_count=6, avg_price_diff=970, total_volume_a=8864751.0, total_volume_b=5480270.0
Keep Low=> total_count=2, avg_price_diff=-233, total_volume_a=881501.0, total_volume_b=904824.0
Keep High=> total_count=2, avg_price_diff=358, total_volume_a=3096531.0, total_volume_b=617727.0
Keep High=> total_count=1, avg_price_diff=381, total_volume_a=349200.0, total_volume_b=433410.0
Keep High=> total_count=2, avg_price_diff=348, total_volume_a=649743.0, total_volume_b=993752.0
Keep High=> total_count=1, avg_price_diff=300, total_volume_a=214115.0, total_volume_b=50742.0
Keep High=> total_count=1, avg_price_diff=334, total_volume_a=609441.0, total_volume_b=357994.0
Keep High=> total_count=1, avg_price_diff=303, total_volume_a=814336.0, total_volume_b=313992.0
Keep Low=> total_count=3, avg_price_diff=-35, total_volume_a=2427752.0, total_volume_b=3009738.0
Keep Low=> total_count=2, avg_price_diff=50, total_volume_a=1524768.0, total_volume_b=270075.0
Keep High=> total_count=1, avg_price_diff=300, total_volume_a=348543.0, total_volume_b=149505.0
Keep High=> total_count=2, avg_price_diff=302, total_volume_a=503558.0, total_volume_b=210397.0
Keep High=> total_count=2, avg_price_diff=305, total_volume_a=227535.0, total_volume_b=416026.0
Keep High=> total_count=2, avg_price_diff=304, total_volume_a=204586.0, total_volume_b=221481.0
Keep High=> total_count=2, avg_price_diff=307, total_volume_a=754488.0, total_volume_b=348705.0
Keep Low=> total_count=4, avg_price_diff=-27, total_volume_a=1289780.0, total_volume_b=3912442.0
Keep Low=> total_count=25, avg_price_diff=36, total_volume_a=17657129.0, total_volume_b=9877622.0
Keep Low=> total_count=9, avg_price_diff=66, total_volume_a=4694979.0, total_volume_b=1616138.0
